RESPUESTAS
PREG RESP PREG RESP PREG RESP PREG RESP PREG RESP
1 A 96 D 191 A 286 D 381 D
2 D 97 A 192 C 287 D 382 D
3 C 98 C 193 A 288 A 383 C
4 D 99 D 194 D 289 B 384 C
5 B 100 B 195 B 290 C 385 C
6 C 101 D 196 C 291 A 386 D
7 B 102 B 197 B 292 B 387 B
8 D 103 A 198 C 293 B 388 C
9 A 104 B 199 D 294 C 389 D
10 D 105 A 200 A 295 B 390 A
11 D 106 B 201 B 296 D 391 B
12 B 107 A 202 B 297 B 392 A
13 A 108 C 203 C 298 A 393 D
14 C 109 A 204 A 299 B 394 C
15 C 110 A 205 C 300 C 395 B
16 B 111 B 206 A 301 D 396 C
17 C 112 A 207 D 302 B 397 A
18 B 113 B 208 C 303 C 398 D
19 B 114 D 209 C 304 A 399 C
20 B 115 C 210 C 305 D 400 D
21 A 116 B 211 D 306 D 401 D
22 A 117 B 212 C 307 C 402 C
23 D 118 A 213 C 308 D 403 C
24 C 119 B 214 D 309 C 404 C
25 D 120 C 215 C 310 B 405 A
26 A 121 C 216 B 311 B 406 C
27 C 122 B 217 A 312 D 407 D
28 C 123 A 218 C 313 A 408 A
29 D 124 B 219 B 314 D 409 C
30 A 125 A 220 A 315 C 410 A
31 C 126 B 221 A 316 C 411 B
32 A 127 B 222 C 317 A 412 D
33 D 128 B 223 D 318 D 413 B
34 B 129 A 224 D 319 A 414 D
35 B 130 C 225 D 320 B 415 D
36 A 131 D 226 A 321 B 416 D
37 C 132 C 227 D 322 C 417 A
38 B 133 B 228 B 323 A 418 D
39 D 134 A 229 B 324 A 419 B
40 D 135 C 230 B 325 C 420 B
41 B 136 B 231 A 326 D 421 B
42 B 137 A 232 C 327 C 422 D
43 A 138 D 233 A 328 A 423 A
44 B 139 C 234 C 329 A 424 C
45 A 140 B 235 D 330 D 425 D
46 B 141 A 236 A 331 D 426 C
47 C 142 B 237 B 332 B 427 D
48 A 143 C 238 A 333 A 428 B
49 D 144 C 239 C 334 B 429 D
50 D 145 A 240 C. 335 D 430 B
51 D 146 B 241 B. 336 A 431 A
52 C 147 D 242 B. 337 B 432 A
53 C 148 B 243 C. 338 A 433 D
54 A 149 A 244 B. 339 A 434 D
55 B 150 D 245 C. 340 C 435 B
56 C 151 C 246 C. 341 B 436 C
57 A 152 C 247 B. 342 D 437 A
58 A 153 B 248 C. 343 C 438 A
59 C 154 A 249 B. 344 B 439 B
60 B 155 D 250 B. 345 D 440 D
61 B 156 A 251 A. 346 A 441 A
62 D 157 A 252 B. 347 C 442 B
63 D 158 A 253 C 348 B 443 A
64 C 159 D 254 A 349 A 444 A
65 C 160 B 255 B 350 A 445 A
66 B 161 B 256 A 351 B 446 B
67 B 162 B 257 A 352 B 447 D
68 C 163 C 258 C 353 A 448 C
69 B 164 C 259 B 354 B 449 A
70 B 165 A 260 C 355 B 450 B
71 C 166 D 261 C 356 C 451 A
72 D 167 B 262 D 357 D 452 A
73 B 168 D 263 D 358 C 453 B
74 C 169 D 264 B 359 B 454 C
75 D 170 C 265 B 360 D 455 B
76 A 171 D 266 D 361 C 456 C
77 C 172 B 267 B 362 B 457 A
78 B 173 A 268 D 363 C 458 A
79 B 174 C 269 D 364 A 459 B
80 C 175 B 270 B 365 C 460 C
81 A 176 B 271 A 366 A 461 A
82 C 177 B 272 B 367 D 462 C
83 B 178 A 273 A 368 D 463 B
84 D 179 A 274 C 369 A 464 C
85 D 180 D 275 D 370 C 465 C
86 A 181 C 276 C 371 D 466 A
87 C 182 D 277 D 372 B 467 A
88 C 183 D 278 D 373 B 468 A
89 D 184 A 279 B 374 A 469 C
90 A 185 C 280 D 375 D 470 D
91 B 186 C 281 A 376 C 471 A
92 B 187 B 282 B 377 D 472 B
93 B 188 B 283 C 378 A
94 D 189 D 284 B 379 A
95 C 190 D 285 D 380 B
